ID	name	type	role	level	idle	walk	sit	angry	sayhi	dance	salute	clps	cry	batidle	attack	cast	behit	runto	runback	defend
*
神天兵_spear_60	神天兵_spear_60	spear	神天兵	60	1D4CF669	0E0B110D						224AF5B0		B97A9664	B722A1E4	B0CEB342	93030C65	34ADB171	AF20C0EF	8CCF88F5
虎头怪_hammer_0	虎头怪_hammer_0	hammer	虎头怪	0	35A60822	6C4C0BD8						573FE90B		04AFB943	EBB8F006	6AC733AE	82D84EBA	21E7923D	D30D97DD	FBC7D402
逍遥生_sword_30	逍遥生_sword_30	sword	逍遥生	30	2039C08A	8402C5C6						51233AB5		AFA10ED6	78E26E67	1EEAD699	EA37CEFE	74474E9C	EDD5D518	876AD6AF
逍遥生_fan_30	逍遥生_fan_30	fan	逍遥生	30	297D684D	F186E26E						E876D7E0		CA8EEF83	0FD9C550	A54EA4C3	175941DE	B4CCC8B9	3C3D431E	32C77CDE
虎头怪_axe_0	虎头怪_axe_0	axe	虎头怪	0	EADD5CDD	7467F32A						33AF0AC4		33453188	CEA1CBF1	AB222D43	5B58D8FC	4B2FBF37	AA6C0D05	4EA1D3FB
剑侠客_knife_30	剑侠客_knife_30	knife	剑侠客	30	494C6456	BB949BDE						2F208C10		E901E5AF	A0B18DB3	6C8532E9	BA8BC02F	94B928E6	9111125D	F0701C55
龙太子_fan_0	龙太子_fan_0	fan	龙太子	0	EE5BB0A8	322CF1FD						D4ACCBE9		5133F557	E1C39FA4	07B8B943	45D3D9FF	3373DDFA	FEA0A451	F1B65EEF
玄彩娥_ribbon_0	玄彩娥_ribbon_0	ribbon	玄彩娥	0	E5A57845	4C9588E1						A9B31057		93B63580	7D01D370	DCBB254D	3E95F794	D31748B4	13843BD1	6C278BB9
神天兵_hammer_60	神天兵_hammer_60	hammer	神天兵	60	38C32912	FE1566C1						19D4917C		12D8DE6D	B4EDD4F2	F84AF7A2	27885331	F71C7492	8A8324A1	BA82A21C
舞天姬_ring_0	舞天姬_ring_0	ring	舞天姬	0	6209096A	68D86D0F						69C1D177		7FB32E9F	4A49A3C8	098A9B5E	BC699632	F79D0F75	ECE17D56	B2530EEA
狐美人_claw_30	狐美人_claw_30	claw	狐美人	30	384265DC	7BB497CB						BB0D11E0		6C9A4954	C65E396A	F601D6B3	81F122C9	3915D6A9	6D81DEE8	923F9BBF
舞天姬_ribbon_0	舞天姬_ribbon_0	ribbon	舞天姬	0	FB8435BA	9CF5D9F8						7FDC01EF		81AFF12D	249CA457	A0D26048	7869F2F1	B123AD72	5CC3EF52	F42E7944
英女侠_dbswords_0	英女侠_dbswords_0	dbswords	英女侠	0	57FABA5B	9E945A44						07AB7352		9E6FFA22	F8788170	A4CD5AEB	FD6D5E61	DD1FC526	6DADF138	83DEC128
神天兵_spear_30	神天兵_spear_30	spear	神天兵	30	1D4CF669	0E0B110D						224AF5B0		B97A9664	B722A1E4	B0CEB342	93030C65	34ADB171	AF20C0EF	8CCF88F5
骨精灵_claw_30	骨精灵_claw_30	claw	骨精灵	30	3A6BD287	7CDCDA3D						FDB2431F		F8522536	E27E1988	2837F291	D9305287	742745A7	441041CA	24F1606F
剑侠客_sword_60	剑侠客_sword_60	sword	剑侠客	60	CC5E9C79	59207938						6B3A934F		BC16BE43	07AC6964	341AA6EC	BBBAC247	219210C2	07B27AB7	4B13C413
龙太子_spear_60	龙太子_spear_60	spear	龙太子	60	65E21040	02FBCDFD						C8B75AF3		184DFED9	26C7D8DE	7D09B1E1	4898BCCA	602041FC	9390C290	484A9285
龙太子_fan_60	龙太子_fan_60	fan	龙太子	60	1E2EAD70	F6E24EFF						C22FF943		425BD517	6C61F14D	84D9458A	CDD1B9F5	D8973E56	CC1C2A21	47D2C78D
巨魔王_axe_60	巨魔王_axe_60	axe	巨魔王	60	446B12BA	3C85094B						E959DF5B		97FFD83A	0AE0FBC9	69E3A0BA	A6BA072D	405A73C1	B9DD7791	E8628FDE
逍遥生_fan_0	逍遥生_fan_0	fan	逍遥生	0	402BBC17	8C91B390						57DAABA1		740210C1	B0B46CE5	4F212CA9	7F9B6665	DDC7B6BF	E844C6E6	11851CDD
